"Dominio";"Servidor";"IP";"Sistema_Operativo";"Version_Sistema_Operativo";"Fecha_Instalacion";"KBs_Instaladas";"Fecha_Reinicio";"Running_Time";"Descripcion_Error"
"";"ABS9-BUILD01";"";"";"";"";"";"";"";"Sin conexion o sin datos"
"";"ABS9-TOOLS";"";"";"";"";"";"";"";"Sin conexion o sin datos"
"petersen.corp";"BERENROLLWEB02P";"10.50.89.98";"Microsoft Windows Server 2019 Standard";"10.0.17763.652 (WinBuild.160101.0800)";"2024-09-22";"KB5043126, KB5043050, KB5029931, KB5030505, KB5028316, KB5023789, KB5020374, KB5017400, KB5015896, KB5014797";"2024-09-22 17:37:25";"15184:57:40";"Installation Failure: Windows failed to install the following update with error 0x80246007: VMware, Inc. - Net - 1.8.17.0."
"petersen.corp";"BERINSTWEB02P";"10.50.89.96";"Microsoft Windows Server 2019 Standard";"10.0.17763.652 (WinBuild.160101.0800)";"2026-02-25";"KB5043050, KB5043126, KB5029931, KB5030505, KB5028316, KB5023789, KB5020374, KB5017400, KB5015896, KB5014797";"2026-02-25 03:12:56";"2694:22:11";"Installation Failure: Windows failed to install the following update with error 0x8024200D: 2024-09 Cumulative Update for Windows Server 2019 (1809) for x64-based Systems (KB5043050)."
"petersen.corp";"BERMCISIS03P";"172.30.212.179";"Microsoft Windows Server 2022 Standard";"10.0.20348.1 (WinBuild.160101.0800)";"2022-10-07";"KB5017399, KB5018421, KB5017028";"2024-08-27 14:57:25";"15811:37:38";""
"petersen.corp";"BEROCEDB02P";"172.30.89.82";"Microsoft Windows Server 2019 Standard";"10.0.17763.7671 (WinBuild.160101.0800)";"2026-06-17";"KB5094123, KB5094143, KB5087061, KB5089760, KB5075903, KB5028316, KB5023789, KB5020374, KB5017400, KB5015896";"2026-06-17 01:04:10";"09:30:55";"Installation Failure: Windows failed to install the following update with error 0x8024001E: 2026-05 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5087538)."
"petersen.corp";"BEROCEMS02P";"172.30.89.64";"Microsoft Windows Server 2019 Standard";"10.0.17763.652 (WinBuild.160101.0800)";"2023-08-17";"KB5028316, KB5029247, KB5028960, KB5023789, KB5020374, KB5009642, KB5005112, KB5003711, KB4535680, KB5003243";"2026-02-24 23:57:45";"2698:37:29";""
"petersen.corp";"BERPRICINGWEBP";"172.30.10.28";"Microsoft Windows Server 2019 Standard";"10.0.17763.1 (WinBuild.160101.0800)";"2025-10-17";"KB4577586, KB5066143, KB4489899, KB4470788";"2025-10-16 23:23:17";"5842:11:45";"Installation Failure: Windows failed to install the following update with error 0x80246013: Broadcom Inc. - System - 9.8.30.0."
"petersen.corp";"BERSONPRTG01P";"172.30.89.73";"Microsoft Windows Server 2019 Standard";"10.0.17763.652 (WinBuild.160101.0800)";"2023-09-13";"KB5030214, KB5030505, KB5029931, KB5028316, KB5023789, KB4589208, KB5020374, KB5017400, KB5015896, KB5014797";"2025-11-25 15:57:40";"4890:38:09";""
"";"BSCBPRISMSQL01P";"";"";"";"";"";"";"";"Sin conexion o sin datos"
"petersen.corp";"BSCINSTBFF01P";"172.30.99.95";"Microsoft Windows Server 2019 Standard";"10.0.17763.7671 (WinBuild.160101.0800)";"2026-06-10";"KB5094143, KB5094123, KB5087061, KB5089760, KB5082118, KB5075903, KB5074222, KB5070248, KB5066585, KB5065765";"2026-06-10 17:18:28";"160:16:38";"Installation Failure: Windows failed to install the following update with error 0x80246007: Broadcom Inc. - System - 9.8.18.1."
"petersen.corp";"BSCMCESIS02P";"172.30.212.207";"Microsoft Windows Server 2022 Standard";"10.0.20348.1 (WinBuild.160101.0800)";"2026-02-25";"KB5012170, KB5066139, KB5017399, KB5018421";"2026-02-25 03:18:17";"2694:16:47";""
"petersen.corp";"BSCOCEAPI03P";"172.30.99.62";"Microsoft Windows Server 2019 Standard";"10.0.17763.7671 (WinBuild.160101.0800)";"2026-06-17";"KB5094143, KB5094123, KB5087061, KB5082118, KB5074222, KB5005112, KB5037017, KB5035963, KB4589208, KB4535680";"2026-06-17 01:03:31";"09:31:32";"Installation Failure: Windows failed to install the following update with error 0x80246007: 2026-04 Cumulative Update for Windows Server 2019 for x64-based Systems (KB5082123)."
"";"BSCOCEIS02P";"";"";"";"";"";"";"";"Sin conexion o sin datos"
