"Dominio","Servidor","IP","Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Errores_Instalacion"
,"BEROCEMS01T.petersen.corp","172.30.87.71","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSCOCEIS01T.petersen.corp","172.30.97.72","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSFINSTWEB02T.petersen.corp","10.50.82.98","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSJGCONTAWEB01T.petersen.corp","172.30.92.187","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"CLOUDERAMS01T.petersen.corp","172.30.211.78","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"SRVINTEG01T.petersen.corp","172.30.82.81","Microsoft Windows Server 2022 Standard","22/04/2026","Ninguna/No detectada","0"
,"SRVSELENI02T.petersen.corp","172.30.211.55","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
"N/A","SRVDBFCI01T.OLD.petersen.corp","N/A","N/A","22/04/2026","Ninguna/No detectada","0"
,"BERONBOARDMS02T.petersen.corp","172.30.87.181","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSCSBALSQL01T.petersen.corp","172.30.97.74","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSFPWRCRVDA01T.petersen.corp","172.30.82.69","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSJOMNIRATL02T.petersen.corp","172.30.92.88","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"SRVDOCDIN01T.petersen.corp","172.30.212.189","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"SRVPWCSYSCET.petersen.corp","172.30.211.217","Microsoft Windows Server 2022 Standard","22/04/2026","Ninguna/No detectada","0"
"N/A","SRVPWCSDSCI2T.petersen.corp","N/A","N/A","22/04/2026","Ninguna/No detectada","0"
,"BEROMNIPB01T.petersen.corp","172.30.85.81","Microsoft Windows Server 2016 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSCOMNIFS01T.petersen.corp","172.30.97.85","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSFOMNISQL01T.petersen.corp","172.30.82.90","Microsoft Windows Server 2016 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSJOMNISQL01T.petersen.corp","172.30.92.90","Microsoft Windows Server 2016 Standard","22/04/2026","Ninguna/No detectada","0"
,"PWCCE-DAS-01T.petersen.corp","172.30.211.216","Microsoft Windows Server 2022 Standard","22/04/2026","Ninguna/No detectada","0"
,"SRVINVAM02T.petersen.corp","172.30.211.101","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"SRVSQLCITAS01T.petersen.corp","172.30.211.193","Microsoft Windows Server 2016 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSCCBANKIIS01T.petersen.corp","10.50.97.161","Microsoft Windows Server 2022 Standard","22/04/2026","Ninguna/No detectada","0"
,"BEROMNIWS02T.petersen.corp","172.30.87.81","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSCOMNIRATL01T.petersen.corp","172.30.97.88","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSFOCEAPI01T.petersen.corp","172.30.82.70","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSJINSTWEB02T.petersen.corp","10.50.92.98","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"PWCCI-DAS-01T.petersen.corp","172.30.211.175","Microsoft Windows Server 2022 Standard","22/04/2026","Ninguna/No detectada","0"
,"SRVPACORESQL01T.petersen.corp","172.30.211.161","Microsoft Windows Server 2022 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSFDEBMEDIADB01T.petersen.corp","172.30.211.97","Microsoft Windows Server 2022 Standard","22/04/2026","Ninguna/No detectada","0"
,"BEROCEIS01T.petersen.corp","172.30.87.72","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSCOCEAPI01T.petersen.corp","172.30.97.70","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSFINSTWEB01T.petersen.corp","10.50.82.95","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSJGCONTASQL01T.petersen.corp","172.30.92.184","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"BSJVUFADB01T.petersen.corp","172.30.92.185","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
,"SRVIIS02T.petersen.corp","172.30.16.180","Microsoft Windows Server 2016 Standard","22/04/2026","Ninguna/No detectada","0"
,"SRVSELENI01T.petersen.corp","172.30.211.50","Microsoft Windows Server 2019 Standard","22/04/2026","Ninguna/No detectada","0"
