"Dominio","Servidor","IP","Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Descripcion_Error"
,"AONOCEDB01T","172.30.211.130","Microsoft Windows Server 2019 Standard","17/04/2026","Ninguna/No detectada","N/A"
,"BERPWRCRVDAS01T","172.30.87.68","Microsoft Windows Server 2019 Standard","16/04/2026","Ninguna/No detectada","N/A"
,"BSCPWRCRVDAS01T","172.30.97.68","Microsoft Windows Server 2019 Standard","14/04/2026","Ninguna/No detectada","N/A"
,"BSFONBOARDMS02T","172.30.82.181","Microsoft Windows Server 2019 Standard","15/04/2026","Ninguna/No detectada","N/A"
,"BSJOMNIFS01T","172.30.92.85","Microsoft Windows Server 2019 Standard","14/04/2026","Ninguna/No detectada","N/A"
,"SRVDB01T","172.30.210.85","Microsoft Windows Server 2016 Standard","19/08/2025","Ninguna/No detectada","There is not enough space on the disk.
"
,"SRVOMNIBOPI01T","172.30.211.56","Microsoft Windows Server 2019 Standard","17/04/2026","Ninguna/No detectada","N/A"
"N/A","BERABSDEV-W2019S01T","N/A","N/A","N/A","Ninguna/No detectada","N/A"
,"BERINSTBFF01T","172.30.87.95","Microsoft Windows Server 2019 Standard","15/04/2026","Ninguna/No detectada","N/A"
,"BSCINSTWEB01T","10.50.97.95","Microsoft Windows Server 2019 Standard","14/04/2026","Ninguna/No detectada","N/A"
,"BSFGCONTASQL01T","172.30.82.184","Microsoft Windows Server 2019 Standard","15/04/2026","Ninguna/No detectada","N/A"
,"BSJCBANKIIS01T","10.50.92.161","Microsoft Windows Server 2022 Standard","18/04/2026","Ninguna/No detectada","N/A"
,"BSJSBALSQL01T","172.30.92.74","Microsoft Windows Server 2019 Standard","15/04/2026","Ninguna/No detectada","N/A"
,"SRVINTEG02T","172.30.82.82","Microsoft Windows Server 2022 Standard","07/10/2022","Ninguna/No detectada","PsExec failed with error code 1"
"N/A","BERABSRUNUAT","N/A","N/A","N/A","Ninguna/No detectada","N/A"
,"BERENROLLWEB01T","10.50.87.97","Microsoft Windows Server 2019 Standard","15/04/2026","Ninguna/No detectada","N/A"
,"BERSONPRTG01T","172.30.87.73","Microsoft Windows Server 2019 Standard","17/04/2026","Ninguna/No detectada","N/A"
,"BSCSONPRTG01T","172.30.97.73","Microsoft Windows Server 2019 Standard","14/04/2026","Ninguna/No detectada","N/A"
,"BSFVUFADB01T","172.30.82.185","Microsoft Windows Server 2019 Standard","15/04/2026","Ninguna/No detectada","N/A"
,"BSJSONPRTG01T","172.30.92.73","Microsoft Windows Server 2019 Standard","15/04/2026","Ninguna/No detectada","N/A"
,"SRVDBFCI01T","172.30.211.14","Microsoft Windows Server 2022 Standard","07/10/2022","Ninguna/No detectada","N/A"
,"SRVPACOREIIS01T","172.30.211.160","Microsoft Windows Server 2022 Standard","07/10/2022","Ninguna/No detectada","N/A"
"N/A","BERABSTFS01T","N/A","N/A","N/A","Ninguna/No detectada","N/A"
,"BERFDSQL01T","172.30.87.122","Microsoft Windows Server 2022 Standard","07/10/2022","Ninguna/No detectada","PsExec failed with error code 1"
"N/A","BERSONPRTG02T","N/A","N/A","N/A","Ninguna/No detectada","N/A"
,"BSCSONPRTG02T","10.50.97.73","Microsoft Windows Server 2019 Standard","14/04/2026","Ninguna/No detectada","N/A"
,"BSFPWRCRVDAS01T","172.30.82.68","Microsoft Windows Server 2019 Standard","14/04/2026","Ninguna/No detectada","N/A"
,"BSJONBOARDMS03T","172.30.92.76","Microsoft Windows Server 2019 Standard","21/08/2025","Ninguna/No detectada","N/A"
,"SRVEFLOWTSQL01T","172.30.211.90","Microsoft Windows Server 2019 Standard","16/04/2026","Ninguna/No detectada","N/A"
,"SRVPWRCRVDAS01T","172.30.211.105","Microsoft Windows Server 2019 Standard","10/12/2025","Ninguna/No detectada","N/A"
,"BSCINSTWEB02T","10.50.97.98","Microsoft Windows Server 2019 Standard","14/04/2026","Ninguna/No detectada","N/A"
,"BERPWRCRVDA01T","172.30.87.69","Microsoft Windows Server 2019 Standard","17/04/2026","Ninguna/No detectada","N/A"
,"BSCPWRCRVDA01T","172.30.97.69","Microsoft Windows Server 2019 Standard","14/04/2026","Ninguna/No detectada","N/A"
,"BSFONBOARDMS01T","10.50.82.140","Microsoft Windows Server 2019 Standard","15/04/2026","Ninguna/No detectada","N/A"
,"BSJOCEMS01T","172.30.92.71","Microsoft Windows Server 2019 Standard","16/04/2026","Ninguna/No detectada","N/A"
,"SRVCOMFRON01T","10.50.211.140","Microsoft Windows Server 2022 Standard","18/08/2025","Ninguna/No detectada","N/A"
,"SRVOCRBAL01T","172.30.211.36","Microsoft Windows Server 2019 Standard","18/04/2026","Ninguna/No detectada","N/A"
"N/A","BERDEBMEDIAPP01T","N/A","N/A","N/A","Ninguna/No detectada","N/A"
