"Dominio","Servidor","IP","Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Fecha_Reinicio","Descripcion_Error"
"petersen.corp","SRVVEEAMCLD01P","172.30.10.60, 127.0.0.1","Microsoft Windows Server 2019 Standard","10/09/2025","Ninguna/No detectada","27/04/2026 16:36","N/A"
"petersen.corp","VEEAMONE","172.30.10.25, 127.0.0.1","Microsoft Windows Server 2019 Standard","13/01/2026","Ninguna/No detectada","20/04/2026 13:05","N/A"
"petersen.corp","VEEAMPRX02","10.50.12.22, 10.50.42.22, 10.50.13.22, 10.50.41.22, 127.0.0.1","Microsoft Windows Server 2019 Standard","13/05/2026","Ninguna/No detectada","13/05/2026 01:59","N/A"
"N/A","VEEAMPRX08_OLD","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A"
"N/A","VEEAMPRX10-OLD","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A"
"N/A","VEEAMPRX12_OLD","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A"
"N/A","VEEAMPRX14_OLD","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A"
"N/A","VEEAMPRX16_OLD","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A"
"N/A","VEEAMPRX18_OLD","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A"
"petersen.corp","VPRX-BM-01C","10.50.13.226, 10.50.12.226, 10.50.42.226, 10.50.41.226, 127.0.0.1","Microsoft Windows Server 2019 Standard","20/04/2026","Ninguna/No detectada","20/04/2026 15:26","N/A"
"petersen.corp","VPRX-CLD05-04C","10.50.12.32, 10.50.13.42, 10.50.41.32, 127.0.0.1","Microsoft Windows Server 2019 Standard","13/05/2026","Ninguna/No detectada","13/05/2026 01:55","N/A"
"petersen.corp","VPRX-CLD05-05C","10.50.12.43, 10.50.13.43, 10.50.41.43, 127.0.0.1","Microsoft Windows Server 2019 Standard","13/05/2026","Ninguna/No detectada","13/05/2026 02:05","N/A"
"petersen.corp","VPRX-CLD-06C","10.50.41.153, 10.50.13.89, 127.0.0.1","Microsoft Windows Server 2022 Standard","15/05/2026","KB5087068","14/04/2026 13:41","N/A"
"petersen.corp","VPRX-CLD2-02I","10.50.42.31, 10.50.13.160, 10.50.41.87, 127.0.0.1","Microsoft Windows Server 2019 Standard","15/05/2026","KB5087061, KB5087538, KB5089760","15/05/2026 15:24","N/A"
"petersen.corp","VPRX-CLD2-04I","10.50.42.71, 10.50.13.162, 10.50.41.230, 127.0.0.1","Microsoft Windows Server 2019 Standard","15/05/2026","KB5087061, KB4589208, KB5087538, KB5089760","15/05/2026 16:27","N/A"
"petersen.corp","VPRX-CLD2-05I","10.50.42.70, 10.50.13.163, 10.50.41.231, 127.0.0.1","Microsoft Windows Server 2019 Standard","15/05/2026","KB5087061, KB5087538, KB5089760","15/05/2026 15:24","N/A"
"petersen.corp","VPRX-CLD2-06I","10.50.42.72, 10.50.13.138, 10.50.41.67, 127.0.0.1","Microsoft Windows Server 2019 Standard","15/05/2026","KB5087061, KB5087538, KB5089760","15/05/2026 15:24","N/A"
