"Dominio","Servidor","IP","Sistema_Operativo","Version_Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Fecha_Reinicio","Descripcion_Error"
"N/A","SRVPRXVEEAM05P","10.50.12.70","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\10.50.12.70\C$"
"petersen.corp","VEEAMORCHEST01P","172.30.10.106, 10.50.42.60","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","20/04/2026","Ninguna/No detectada","20/04/2026 15:33","N/A"
"N/A","VEEAMPRX03","172.30.10.106, 10.50.42.60","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\10.50.41.23\C$"
"N/A","VEEAMPRX03_1","172.30.10.106, 10.50.42.60","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\10.50.42.224\C$"
"N/A","VEEAMPRX05_1","172.30.10.106, 10.50.42.60","N/A","N/A","N/A","Ninguna/No detectada","N/A","No hay conectividad WinRM ni acceso administrativo a \\10.50.42.225\C$"
"petersen.corp","VEEAMPRX17","172.30.10.111","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","14/01/2026","Ninguna/No detectada","10/04/2026 12:21","N/A"
"petersen.corp","VEEAMPRXCL11","10.50.236.31, 10.50.12.16, 10.50.13.32, 10.50.41.29","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","KB5094123, KB5094143","09/06/2026 15:30","N/A"
"petersen.corp","VEEAMPRXCL19","10.50.12.46, 10.50.13.46, 10.50.41.46","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","09/06/2026","KB5094123, KB5094143","09/06/2026 15:32","N/A"
"petersen.corp","VEEAMPRXCL21","10.50.13.164, 10.50.12.221, 10.50.41.221","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","14/05/2026","Ninguna/No detectada","14/05/2026 17:22","N/A"
"petersen.corp","VEEAMPRXCL23","10.50.13.107, 10.50.12.222, 10.50.41.222","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/05/2026","Ninguna/No detectada","13/05/2026 17:29","N/A"
