"Dominio","Servidor","IP","Sistema_Operativo","Version_Sistema_Operativo","Fecha_Instalacion","KBs_Instaladas","Fecha_Reinicio","Running_Time","Descripcion_Error"
"petersen.corp","SRVVEEAMCLD01P","172.30.10.60","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/09/2025","Ninguna/No detectada","27/04/2026 16:36","1079:56:59","N/A"
"petersen.corp","VEEAMONE","172.30.10.25","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","13/01/2026","Ninguna/No detectada","11/06/2026 12:48","03:45:11","N/A"
"petersen.corp","VPRX-BM-01C","10.50.13.226, 10.50.12.226, 10.50.42.226, 10.50.41.226","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","11/06/2026","KB5087061","20/04/2026 15:26","1248:07:29","N/A"
"petersen.corp","VPRX-CLD05-04C","10.50.12.32, 10.50.13.42, 10.50.41.32","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","Ninguna/No detectada","10/06/2026 01:50","38:43:43","N/A"
"petersen.corp","VPRX-CLD05-05C","10.50.12.43, 10.50.13.43, 10.50.41.43","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","10/06/2026","Ninguna/No detectada","10/06/2026 02:01","38:32:45","N/A"
"petersen.corp","VPRX-CLD-06C","10.50.41.153, 10.50.13.89","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","11/06/2026","KB5094128, KB5094147","11/06/2026 13:53","02:40:54","N/A"
"petersen.corp","VPRX-CLD2-02I","10.50.42.31, 10.50.13.160, 10.50.41.87","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","11/06/2026","KB5094123, KB5094143","11/06/2026 13:07","02:27:16","N/A"
"petersen.corp","VPRX-CLD2-04I","10.50.42.71, 10.50.13.162, 10.50.41.230","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","11/06/2026","KB5094123, KB5094143","11/06/2026 13:47","02:46:34","N/A"
"petersen.corp","VPRX-CLD2-05I","10.50.42.70, 10.50.13.163, 10.50.41.231","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","11/06/2026","KB5094123, KB5094143","11/06/2026 13:47","02:47:02","N/A"
"petersen.corp","VPRX-CLD2-06I","10.50.42.72, 10.50.13.138, 10.50.41.67","Microsoft Windows Server 2019 Standard","10.0.17763.7671 (WinBuild.160101.0800)","11/06/2026","KB5094123, KB5094143","11/06/2026 13:59","02:34:52","N/A"
"petersen.corp","VPRX-CLD2-09I","10.50.42.100, 10.50.13.101, 10.50.41.100","Microsoft Windows Server 2022 Standard","10.0.20348.1 (WinBuild.160101.0800)","11/06/2026","KB5087068","24/07/2025 16:10","7727:24:15","N/A"
"petersen.corp","VPRX-CLD3-05C","10.50.41.69, 10.50.13.81","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","11/06/2026","KB5087545, KB5089140","11/06/2026 15:04","00:29:57","N/A"
"N/A","VPRX-CLD7-01C","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\VPRX-CLD7-01C\C$"
"N/A","VPRX-CLD7-02C","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\VPRX-CLD7-02C\C$"
"N/A","VPRX-CLD7-05C","N/A","N/A","N/A","N/A","Ninguna/No detectada","N/A","N/A","No hay conectividad WinRM ni acceso administrativo a \\VPRX-CLD7-05C\C$"
"petersen.corp","VPRX-CTRL-02C","10.50.13.140, 10.50.41.108","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","15/05/2026","Ninguna/No detectada","15/04/2026 15:11","1368:23:25","N/A"
"petersen.corp","VPRX-HBE-02C","10.50.13.54, 10.50.41.58","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","15/05/2026","Ninguna/No detectada","20/04/2026 13:05","1250:29:57","N/A"
"petersen.corp","VPRX-HBI-01I","10.50.42.78, 10.50.13.67","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","11/06/2026","KB5094128, KB5094147","11/06/2026 15:15","00:20:04","N/A"
"petersen.corp","VPRX-HBI-03C","10.50.13.212, 10.50.41.114","Microsoft Windows Server 2019 Standard","10.0.17763.652 (WinBuild.160101.0800)","27/05/2026","Ninguna/No detectada","27/05/2026 09:28","366:06:40","N/A"
"petersen.corp","VPRX-HBI-05I","10.50.42.23, 10.50.13.65","Microsoft Windows Server 2022 Standard","10.0.20348.4050 (WinBuild.160101.0800)","11/06/2026","KB5094128, KB5094147","11/06/2026 15:07","00:27:45","N/A"
"petersen.corp","VPRX-HBI-06I","10.50.13.78, 10.50.41.167","Microsoft Windows Server 2022 Standard","10.0.20348.1 (WinBuild.160101.0800)","11/06/2026","KB5087068, KB5012170","11/06/2026 14:56","01:38:44","N/A"
