Grupo;Dominio;IP;OS;Servidor;Ambiente
DCGrupo1;asj.corp;172.30.39.12;Windows Server 2019 Standard;ASJDC01;Producción
DCGrupo1;ber01.corp;172.30.158.11;Windows Server 2016 Standard;BERDC01P;Producción
DCGrupo1;ptc.corp;172.30.61.10;Microsoft Windows Server 2016 or later (64-bit);PTCDC03P;Producción
DCGrupo1;qualia.corp;172.30.14.15;Windows Server 2019 Standard;QUALIADC03;Producción
DCGrupo1;petersen.corp;10.50.212.46;Windows Server 2019 Standard;SRVAZDCONN03P;Producción
DCGrupo1;petersen.corp;172.30.118.20;Windows Server 2019 Standard;SRVDCOMNIPP01P;Producción
DCGrupo2;asj.corp;172.30.39.11;Windows Server 2019 Standard;ASJDC04;Producción
DCGrupo2;bsj01.corp;172.30.128.11;Windows Server 2016 Standard;BSJDC01P;Producción
DCGrupo2;petersenenergia.corp;172.30.16.218;Windows Server 2019 Standard;PTCEDC01;Producción
DCGrupo2;root.corp;172.30.10.183;Windows Server 2016 Standard;ROOTDC1601;Producción
DCGrupo2;petersen.corp;172.30.10.184;Windows Server 2019 Standard;SRVDC01;Producción
DCGrupo2;petersen.corp;172.30.118.21;Windows Server 2022 Standard;SRVDCOMNIPP02P;Producción
DCGrupo3;asj.corp;172.19.241.10;Windows Server 2022 Standard;ASJDC05;Producción
DCGrupo3;petersen.corp;172.20.1.100;Windows Server 2019 Standard;DCP100VRT;Producción
DCGrupo3;petersenenergia.corp;172.30.16.219;Windows Server 2019 Standard;PTCEDC02;Producción
DCGrupo3;root.corp;172.30.10.187;Microsoft Windows Server 2016 or later (64-bit);ROOTDC1602;Producción
DCGrupo3;petersen.corp;172.16.10.57;Windows Server 2019 Standard;SRVDC01BSF;Producción
DCGrupo4;asj.corp;172.19.252.10;Windows Server 2022 Standard;ASJDC06;Producción
DCGrupo4;petersenthieleycruz.com.ar;172.10.0.101;Windows Server 2012 R2 Standard;PTCDC01;Producción
DCGrupo4;qualia.corp;172.30.14.11;Windows Server 2019 Standard;QUALIADC01;Producción
DCGrupo4;root.corp;172.30.10.208;Microsoft Windows Server 2016 or later (64-bit);ROOTDC1603;Producción
DCGrupo4;petersen.corp;172.30.10.185;Windows Server 2019 Standard;SRVDC02;Producción
DCGrupo5;asj.corp;172.30.39.14;Windows Server 2022 Standard;BERDC01;Producción
DCGrupo5;ptc.corp;172.30.61.11;Microsoft Windows Server 2016 or later (64-bit);PTCDC02P;Producción
DCGrupo5;qualia.corp;172.30.14.12;Windows Server 2019 Standard;QUALIADC02;Producción
DCGrupo5;petersen.corp;10.50.212.45;Windows Server 2019 Standard;SRVAZADCONN01P;Producción
DCGrupo5;petersen.corp;172.30.10.209;Windows Server 2019 Standard;SRVDCDRS01;Producción
Desarrollo1;petersen.corp;172.30.17.36;Windows Server 2022 Datacenter;ABS9-AZUDEV;Desarrollo
Desarrollo1;petersen.corp;172.30.17.38;Windows Server 2022 Datacenter;ABS9-DEVSU;Desarrollo
Desarrollo1;petersen.corp;10.50.211.145;Windows Server 2019 Standard;BERINSTWEB01DEV;Desarrollo
Desarrollo1;petersen.corp;172.30.88.70;Windows Server 2019 Standard;BEROCEAPI01D;Desarrollo
Desarrollo1;petersen.corp;172.30.88.72;Windows Server 2019 Standard;BEROCEIS01D;Desarrollo
Desarrollo1;petersen.corp;172.30.88.71;Windows Server 2019 Standard;BEROCEMS01D;Desarrollo
Desarrollo1;petersen.corp;172.30.88.40;Windows Server 2019 Standard;BERSTDINSQL01D;Desarrollo
Desarrollo1;petersen.corp;172.30.88.41;Windows Server 2019 Standard;BERSTDINWEB01D;Desarrollo
Desarrollo1;petersen.corp;172.30.88.42;Windows Server 2019 Standard;BERSTDINWEB02D;Desarrollo
Desarrollo1;petersen.corp;172.30.98.70;Windows Server 2019 Standard;BSCOCEAPI01D;Desarrollo
Desarrollo1;petersen.corp;172.30.98.72;Windows Server 2019 Standard;BSCOCEIS01D;Desarrollo
Desarrollo1;petersen.corp;172.30.98.71;Windows Server 2019 Standard;BSCOCEMS01D;Desarrollo
Desarrollo1;petersen.corp;172.30.98.40;Windows Server 2019 Standard;BSCSTDINSQL01D;Desarrollo
Desarrollo1;petersen.corp;172.30.98.41;Windows Server 2019 Standard;BSCSTDINWEB01D;Desarrollo
Desarrollo1;petersen.corp;172.30.98.42;Windows Server 2019 Standard;BSCSTDINWEB02D;Desarrollo
Desarrollo1;petersen.corp;172.30.83.70;Windows Server 2019 Standard;BSFOCEAPI01D;Desarrollo
Desarrollo1;petersen.corp;172.30.83.72;Windows Server 2019 Standard;BSFOCEIS01D;Desarrollo
Desarrollo1;petersen.corp;172.30.83.71;Windows Server 2019 Standard;BSFOCEMS01D;Desarrollo
Desarrollo1;petersen.corp;172.30.93.70;Windows Server 2019 Standard;BSJOCEAPI01D;Desarrollo
Desarrollo1;petersen.corp;172.30.93.72;Windows Server 2019 Standard;BSJOCEIS01D;Desarrollo
Desarrollo1;petersen.corp;172.30.93.71;Windows Server 2019 Standard;BSJOCEMS01D;Desarrollo
Desarrollo1;petersen.corp;172.30.93.40;Windows Server 2019 Standard;BSJSTDINSQL01D;Desarrollo
Desarrollo1;petersen.corp;172.30.93.41;Windows Server 2019 Standard;BSJSTDINWEB01D;Desarrollo
Desarrollo1;petersen.corp;172.30.93.42;Windows Server 2019 Standard;BSJSTDINWEB02D;Desarrollo
Desarrollo1;petersen.corp;10.50.211.91;Windows Server 2016 Standard;PTCDMZ01D;Desarrollo
Desarrollo1;petersen.corp;172.30.210.86;Windows Server 2022 Standard;PWCCI-DAS-01D;Desarrollo
Desarrollo1;petersen.corp;172.30.210.60;Windows Server 2019 Standard;SRVBPRISM01D;Desarrollo
Desarrollo1;petersen.corp;172.30.210.51;Windows Server 2019 Standard;SRVPWRCRVDA01D;Desarrollo
Desarrollo1;petersen.corp;172.30.210.52;Windows Server 2019 Standard;SRVPWRCRVDA02D;Desarrollo
Desarrollo1;petersen.corp;172.30.210.53;Windows Server 2019 Standard;SRVPWRCRVDA03D;Desarrollo
Desarrollo1;petersen.corp;172.30.210.50;Windows Server 2019 Standard;SRVPWRCRVDAS01D;Desarrollo
Desarrollo1;petersen.corp;172.30.210.125;Windows Server 2019 Standard;SRVSQL01D;Desarrollo
Desarrollo1;petersen.corp;172.30.210.126;Windows Server 2019 Standard;SRVSQL02D;Desarrollo
Desarrollo1;petersen.corp;172.30.213.34;Windows Server 2022 Standard;SRVTABBRIDGE01D;Desarrollo
Producción1;petersen.corp;172.30.17.43;Windows Server 2022 Datacenter;ABS9-BUILD01;Producción
Producción1;petersen.corp;172.30.17.37;Windows Server 2022 Datacenter;ABS9-TOOLS;Producción
Producción1;petersen.corp;10.50.89.98;Windows Server 2019 Standard;BERENROLLWEB02P;Producción
Producción1;petersen.corp;10.50.89.96;Windows Server 2019 Standard;BERINSTWEB02P;Producción
Producción1;petersen.corp;172.30.212.179;Windows Server 2022 Standard;BERMCISIS03P;Producción
Producción1;petersen.corp;172.30.89.82;Windows Server 2019 Standard;BEROCEDB02P;Producción
Producción1;petersen.corp;172.30.89.64;Windows Server 2019 Standard;BEROCEMS02P;Producción
Producción1;petersen.corp;172.30.10.28;Windows Server 2019 Standard;BERPRICINGWEBP;Producción
Producción1;petersenthieleycruz.com.ar;172.30.89.73;Windows Server 2019 Standard;BERSONPRTG01P;Producción
Producción1;petersen.corp;;Microsoft Windows Server 2016 or later (64-bit);BSCBPRISMSQL01P;Producción
Producción1;petersen.corp;172.30.99.95;Windows Server 2019 Standard;BSCINSTBFF01P;Producción
Producción1;petersen.corp;172.30.212.207;Windows Server 2022 Standard;BSCMCESIS02P;Producción
Producción1;petersen.corp;172.30.99.62;Windows Server 2019 Standard;BSCOCEAPI03P;Producción
Producción1;petersen.corp;172.30.99.68;Windows Server 2019 Standard;BSCOCEIS02P;Producción
Producción1;petersen.corp;172.30.99.194;Windows Server 2019 Standard;BSCONBOARDDB01P;Producción
Producción1;petersen.corp;172.30.99.59;Windows Server 2019 Standard;BSCPWRCRVDA02P;Producción
Producción1;petersen.corp;172.30.99.186;Windows Server 2019 Standard;BSCVUFADB02P;Producción
Producción1;petersen.corp;172.30.212.196;Windows Server 2022 Standard;BSFDEBMEDDB01P;Producción
Producción1;petersen.corp;10.50.84.95;Windows Server 2019 Standard;BSFINSTWEB01P;Producción
Producción1;petersen.corp;172.30.212.173;Windows Server 2022 Standard;BSFMCISIS01P;Producción
Producción1;petersen.corp;172.30.84.61;Windows Server 2019 Standard;BSFOCEAPI02P;Producción
Producción1;petersen.corp;172.30.84.67;Windows Server 2019 Standard;BSFOCEIS01P;Producción
Producción1;petersen.corp;172.30.84.65;Windows Server 2019 Standard;BSFOCEMS03P;Producción
Producción1;petersen.corp;172.30.84.59;Windows Server 2019 Standard;BSFPWRCRVDA02P;Producción
Producción1;petersen.corp;172.30.84.73;Windows Server 2019 Standard;BSFSONPRTG01P;Producción
Producción1;petersen.corp;10.50.92.141;Windows Server 2022 Standard;BSJAPIWSO2TDMZ;Producción
Producción1;petersen.corp;10.50.94.98;Windows Server 2019 Standard;BSJENROLLWEB02P;Producción
Producción1;petersen.corp;10.50.94.96;Windows Server 2019 Standard;BSJINSTWEB02P;Producción
Producción1;petersen.corp;172.30.94.60;Windows Server 2019 Standard;BSJOCEAPI01P;Producción
Producción1;petersen.corp;172.30.94.83;Windows Server 2019 Standard;BSJOCEDB03P;Producción
Producción1;petersen.corp;172.30.94.65;Windows Server 2019 Standard;BSJOCEMS03P;Producción
Producción1;petersen.corp;172.30.94.58;Windows Server 2019 Standard;BSJPWRCRVDA01P;Producción
Producción1;petersen.corp;10.50.94.73;Windows Server 2019 Standard;BSJSONPRTG02P;Producción
Producción1;petersen.corp;10.50.212.112;Windows Server 2019 Standard;CLOUDERAAPI02P;Producción
Producción1;petersen.corp;10.50.212.120;Windows Server 2019 Standard;CLOUDERAAPI07P;Producción
Producción1;petersen.corp;172.30.215.78;Windows Server 2019 Standard;CLOUDERAMS01P;Producción
Producción1;petersen.corp;172.30.215.85;Windows Server 2019 Standard;CLOUDERAMS06P;Producción
Producción1;petersen.corp;172.30.213.10;Windows Server 2019 Standard;EDH-SUPPORTWIN;Producción
Producción1;petersen.corp;;Microsoft Windows Server 2016 or later (64-bit);PTCEXC02;Producción
Producción1;petersen.corp;172.30.210.88;Windows Server 2022 Standard;PWCCI-SIS-01D;Producción
Producción1;petersen.corp;10.50.200.50;Windows Server 2016 Standard;SRVAGCTRLR01P;Producción
Producción1;petersen.corp;172.30.10.3;Windows Server 2022 Standard;SRVBTAUX01P;Producción
Producción1;petersen.corp;172.30.215.184;Windows Server 2019 Standard;SRVCAMPADOBEP03;Producción
Producción1;petersen.corp;172.30.250.50;Windows Server 2019 Standard;SRVCITASWEB01P;Producción
Producción1;petersen.corp;10.50.212.140;Windows Server 2022 Standard;SRVCOMFRON01P;Producción
Producción1;petersen.corp;10.50.8.63;Windows Server 2019 Standard;SRVEFLOWTWEB01P;Producción
Producción1;petersen.corp;172.30.10.79;Windows Server 2019 Standard;SRVENGWABSJ01P;Producción
Producción1;petersen.corp;172.30.212.246;Windows Server 2022 Standard;SRVFDAPIDIC01P;Producción
Producción1;petersen.corp;172.30.10.90;Windows Server 2016 Standard;SRVFSSAS01P;Producción
Producción1;petersen.corp;10.50.212.102;Windows Server 2019 Standard;SRVGOADMZHA02P;Producción
Producción1;petersen.corp;172.30.84.79;Windows Server 2022 Standard;SRVINTEG02P;Producción
Producción1;petersen.corp;172.30.212.56;Windows Server 2016 Standard;SRVKIWICT01P;Producción
Producción1;petersen.corp;172.30.212.115;Windows Server 2019 Standard;SRVMOODLSQL02P;Producción
Producción1;petersen.corp;10.50.212.42;Windows Server 2016 Standard;SRVNUCLEUS01P;Producción
Producción1;petersen.corp;172.30.10.47;Windows Server 2022 Standard;SRVPACTAS01;Producción
Producción1;petersen.corp;172.30.215.71;Windows Server 2022 Standard;SRVPROCAN02P;Producción
Producción1;petersen.corp;172.30.10.2;Windows Server 2019 Standard;SRVPRTG01P;Producción
Producción1;petersen.corp;172.30.212.184;Windows Server 2022 Standard;SRVPWCSQLC1P;Producción
Producción1;petersen.corp;172.30.212.71;Windows Server 2019 Standard;SRVPWRCRVSDS01P;Producción
Producción1;petersen.corp;172.30.218.50;Windows Server 2019 Standard;SRVSNMPC02P;Producción
Producción1;petersen.corp;172.30.212.5;Windows Server 2016 Standard;SRVSQLCITAS02P;Producción
Producción1;petersen.corp;172.30.10.181;Windows Server 2019 Standard;SRVSQLTYS03P;Producción
Producción1;petersen.corp;172.30.10.8;Windows Server 2022 Standard;SRVTACTAS01;Producción
Producción1;petersen.corp;172.30.212.33;Windows Server 2019 Standard;SRVTMMOBILE01P;Producción
Producción1;petersen.corp;172.30.212.55;Windows Server 2019 Standard;SRVTRENDMAC01P;Producción
Producción1;petersen.corp;;Microsoft Windows Server 2016 or later (64-bit);SRVTS06P (Nuevo Servidor Licencias TS);Producción
Producción1;petersen.corp;172.30.10.105;Windows Server 2019 Standard;SRVTSGDD02P;Producción
Producción1;petersen.corp;10.50.212.41;Windows Server 2019 Standard;SRVUASM01P;Producción
Producción1;petersen.corp;172.30.17.197;Windows Server 2019 Datacenter;UNISYS-BUILD01;Producción
Producción1;petersen.corp;172.30.17.121;Windows Server 2019 Datacenter;UNISYS-RT03;Producción
Producción1;petersen.corp;172.30.17.212;Windows Server 2019 Datacenter;UNISYS-RT-QA03;Producción
Producción1;petersen.corp;172.30.17.111;Windows Server 2019 Datacenter;UNISYS-TFS2;Producción
Producción2;petersen.corp;172.30.17.44;Windows Server 2022 Datacenter;ABS9-BUILD02;Producción
Producción2;petersen.corp;;Microsoft Windows Server 2016 or later (64-bit);BERBPRISMSQL01P;Producción
Producción2;petersen.corp;172.30.89.246;Windows Server 2022 Standard;BERFDSQL01P;Producción
Producción2;petersen.corp;172.30.212.202;Windows Server 2022 Standard;BERMCESIS01P;Producción
Producción2;petersen.corp;172.30.89.60;Windows Server 2019 Standard;BEROCEAPI01P;Producción
Producción2;petersen.corp;172.30.89.83;Windows Server 2019 Standard;BEROCEDB03P;Producción
