Cliente;Grupo;Dominio;IP;OS;Servidor;Ambiente
BSC;DCGrupo1;dmz24.test;1,92168E+11;Windows Server 2016 (64-bit);VM172DC05;Test (DM24)
BSC;DCGrupo1;dmz4.test;1,92168E+11;Windows Server 2016 (64-bit);VM172DC04;Test (DMZ4)
BSC;DCGrupo1;stacruz.test;192.168.172.1;Windows Server 2019 (64-bit);VM172DC00;Test
BSC;DCGrupo1;stacruz.test;192.168.172.4;Windows Server 2019 (64-bit);VM172DC01;Test
BSC;DCGrupo2;f2k.net;192.168.250.97;Microsoft Windows Server 2016 (64-bit);VM250DCF2K00;Desarrollo
BSC;DCGrupo2;desapdc01.net;1,92168E+11;Windows Server 2016 (64-bit);VM250DC02;Desarrollo
BSC;DCGrupo2;desapdc01.net;1,92168E+11;Windows Server 2016 (64-bit);VM250DC03;Desarrollo
BSC;DCGrupo2;dmz24.desa;1,92168E+11;Windows Server 2016 or later (64-bit);VM250DC05;Desarrollo
BSC;DCGrupo2;dmz4.desa;1,92168E+11;Microsoft Windows Server 2016 (64-bit);VM250DC04;Desarrollo (DMZ)
BSC;DCGrupo3;dmz.com;10.0.0.13;Windows Server 2019;VM000DC16;Producción (DMZ)
BSC;DCGrupo3;santacruz.net;172.27.10.100;Windows Server 2019;VM010DC00;Producción - Sucursal Caleta Olivia
BSC;DCGrupo3;santacruz.net;172.27.40.100;Windows Server 2019;VM040DC00;Producción - Sucursal Perito Moreno
BSC;DCGrupo3;santacruz.net;172.27.55.100;Windows Server 2019;VM055DC00;Producción - Sucursal Puerto Deseado
BSC;DCGrupo3;santacruz.net;172.27.60.100;Windows Server 2019;VM060DC00;Producción - Sucursal San Julian
BSC;DCGrupo3;santacruz.net;172.27.85.100;Windows Server 2019;VM085DC00;Producción - Sucursal 28 de Noviembre
BSC;DCGrupo4;dmz4.com;10100100100;Windows Server 2016 or later (64-bit);VM000DC20;Producción (DMZ)
BSC;DCGrupo4;santacruz.net;172.27.5.100;Windows Server 2019;VM005DC00;Producción - Sucursal Buenos Aires
BSC;DCGrupo4;santacruz.net;172.27.30.100;Windows Server 2019;VM030DC00;Producción - Sucursal Gobernador Gregores
