Cliente;Grupo;Dominio;IP;OS;Servidor;Ambiente
BSJ;Producción1;bancosanjuan.net;172.20.73.15;Microsoft Windows 11 (64-bit);ABSPREPROD15DKP;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.6;Microsoft Windows Server 2012 (64-bit);DB6VRT-PRE;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.143;Microsoft Windows Server 2019 (64-bit);DEVABS143PREP;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.13;Microsoft Windows 11 (64-bit);DKPREPROD13VRT;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.78;Microsoft Windows Server 2019 (64-bit);NTS78ABSPREP;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.80;Microsoft Windows Server 2016 or later (64-bit);NTS80VRT_TMP;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.14;Microsoft Windows Server 2012 (64-bit);PROB14ABSPREP;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.23;Microsoft Windows Server 2012 (64-bit);PROBDB23ABSPREP;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.123;Microsoft Windows Server 2022 (64-bit);PROBDB23SRV;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.24;Microsoft Windows Server 2022 (64-bit);PROBWEB24ABSPREP;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.142;Microsoft Windows Server 2019 (64-bit);RTABS142PREP;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.62;Microsoft Windows Server 2019 (64-bit);SIDB62ABSPREP;PreProducción
BSJ;Producción1;bancosanjuan.net;172.20.73.51;Microsoft Windows Server 2019 (64-bit);UNISYS51ABSPREP;PreProducción
BSJ;Producción2;bancosanjuan.net;172.20.4.118;Microsoft Windows Server 2019 (64-bit);BDLINK118VRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.4.33;Microsoft Windows Server 2019 (64-bit);COMX33SRV;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.4;Microsoft Windows Server 2012 (64-bit);DB04VRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.4.86;Microsoft Windows Server 2019 (64-bit);DB15VRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.108;Microsoft Windows Server 2012 (64-bit);DB6VRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.4.97;Microsoft Windows Server 2022 (64-bit);DB97SRV;Producción
BSJ;Producción2;bancosanjuan.net;172.20.4.31;Microsoft Windows Server 2012 (64-bit);DBRDM31VRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.33;Microsoft Windows Server 2022 (64-bit);GRAFO33VRT;Producción
BSJ;Producción2;bancosanjuan.net;202.1.1.113;Microsoft Windows Server 2022 (64-bit);NTS101DCS;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.27;Microsoft Windows Server 2012 (64-bit);NTS126BVRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.119;Microsoft Windows Server 2019 (64-bit);NTS19;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.28;Microsoft Windows Server 2012 (64-bit);NTS28VRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.149;Microsoft Windows Server 2008 R2 (64-bit);NTS33VRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.61;Microsoft Windows Server 2012 (64-bit);NTS60BVRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.9;Microsoft Windows Server 2012 (64-bit);NTS9VRT;Producción
BSJ;Producción2;bancosanjuan.net;139.1.1.33;Microsoft Windows Server 2022 (64-bit);NTSMDC06;Producción
BSJ;Producción2;bancosanjuan.net;172.21.21.51;Microsoft Windows Server 2012 (64-bit);SEGINFOSHP;Producción
BSJ;Producción2;bancosanjuan.net;172.20.4.95;Microsoft Windows Server 2016 or later (64-bit);TRK95VRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.30.51;Microsoft Windows Server 2019 (64-bit);UNISYSTAS51VRT;Producción
BSJ;Producción2;dmz.com;10.0.0.118;Microsoft Windows Server 2012 (64-bit);W2S118;Producción
BSJ;Producción2;bancosanjuan.net;172.20.4.240;Microsoft Windows Server 2019 (64-bit);4DBAS240SRV;Producción
BSJ;Producción2;bancosanjuan.net;172.20.4.203;Microsoft Windows Server 2019 (64-bit);BSJDRPPXY01;Producción
BSJ;Producción2;bancosanjuan.net;172.20.14.61;Microsoft Windows 11 (64-bit);caja-003;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.184;Microsoft Windows 10 (32-bit);FATCA;Producción
BSJ;Producción2;bancosanjuan.net;172.21.15.234;Microsoft Windows Server 2012 (64-bit);NTS020PRT;Producción
BSJ;Producción2;bancosanjuan.net;202.1.100.200;Microsoft Windows Server 2016 or later (64-bit);NTS100PRX1;Producción
BSJ;Producción2;bancosanjuan.net;202.1.2.201;Microsoft Windows Server 2016 or later (64-bit);NTS102PRX2;Producción
BSJ;Producción2;bancosanjuan.net;202.1.3.202;Microsoft Windows Server 2022 (64-bit);NTS103PRX2;Producción
BSJ;Producción2;bancosanjuan.net;202.1.5.239;Microsoft Windows Server 2016 (64-bit);NTS105PRT;Producción
BSJ;Producción2;bancosanjuan.net;202.1.6.201;Microsoft Windows Server 2016 or later (64-bit);NTS106PRX2;Producción
BSJ;Producción2;bancosanjuan.net;202.1.7.239;Microsoft Windows Server 2012 (64-bit);NTS107PRT;Producción
BSJ;Producción2;bancosanjuan.net;202.1.13.239;Microsoft Windows Server 2016 (64-bit);NTS113PRT;Producción
BSJ;Producción2;bancosanjuan.net;202.1.19.200;Microsoft Windows Server 2016 or later (64-bit);NTS119PRX1;Producción
BSJ;Producción2;bancosanjuan.net;172.21.69.239;Microsoft Windows Server 2019 (64-bit);NTS203PRT;Producción
BSJ;Producción2;bancosanjuan.net;172.20.1.169;Microsoft Windows Server 2022 (64-bit);NTS46VRT;Producción
