Cliente;Grupo;Dominio;IP;OS;Servidor;Ambiente
NBERSA;DCGrupo1;bersaservicios.net;172.28.7.14;Microsoft Windows Server 2022 (64-bit);bersaservdc01;Producción
NBERSA;DCGrupo1;nuevobersa.net;172.29.5.17;Microsoft Windows Server 2012 (64-bit);SRV-005-DC;Producción
NBERSA;DCGrupo1;nuevobersa.net;172.29.13.17;Microsoft Windows Server 2022 (64-bit);SRV-013-DC;Producción
NBERSA;DCGrupo1;nuevobersa.net;172.29.21.17;Microsoft Windows Server 2012 (64-bit);SRV-021-DC;Producción
NBERSA;DCGrupo1;nuevobersa.net;172.29.29.17;Microsoft Windows Server 2022 (64-bit);SRV-029-DC;Producción
NBERSA;DCGrupo1;nuevobersa.net;172.29.38.17;Microsoft Windows Server 2012 (64-bit);SRV-038-DC;Producción
NBERSA;DCGrupo1;nuevobersa.net;172.29.49.17;Microsoft Windows Server 2012 (64-bit);SRV-049-DC;Producción
NBERSA;DCGrupo1;nuevobersa.net;172.29.62.17;Microsoft Windows Server 2022 (64-bit);SRV-062-DC;Producción
NBERSA;DCGrupo1;nuevobersa.net;172.29.71.17;Microsoft Windows Server 2012 (64-bit);SRV-071-DC;Producción
NBERSA;DCGrupo1;nuevobersa.net;172.29.84.17;Microsoft Windows Server 2022 (64-bit);SRV-084-DC;Producción
NBERSA;DCGrupo1;nuevobersa.net;172.29.95.17;;SRV-095-DC;Producción
NBERSA;DCGrupo1;root.nbersa;172.28.16.160;;SV-ROOTBER02;Producción
NBERSA;DCGrupo2;bersaservicios.net;172.28.7.5;Microsoft Windows Server 2022 (64-bit);bersaservdc02;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.29.6.17;Microsoft Windows Server 2022 (64-bit);SRV-006-DC;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.29.14.17;Microsoft Windows Server 2022 (64-bit);SRV-014-DC;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.29.22.17;Microsoft Windows Server 2012 (64-bit);SRV-022-DC;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.29.30.17;Microsoft Windows Server 2022 (64-bit);SRV-030-DC;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.29.40.17;Microsoft Windows Server 2022 (64-bit);SRV-040-DC;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.29.50.17;Microsoft Windows Server 2022 (64-bit);SRV-050-DC;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.29.63.17;Microsoft Windows Server 2022 (64-bit);SRV-063-DC;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.29.72.17;Microsoft Windows Server 2012 (64-bit);SRV-072-DC;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.29.85.17;;SRV-085-DC;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.29.197.17;Microsoft Windows Server 2022 (64-bit);SRV-197-DC;Producción
NBERSA;DCGrupo2;nuevobersa.net;172.28.16.11;Microsoft Windows Server 2022 (64-bit);VM-SRVDC01;Producción
NBERSA;DCGrupo3;erservicios.net;172.28.7.130;Microsoft Windows Server 2022 (64-bit);ER-SERVICIOS;Producción
NBERSA;DCGrupo3;nuevobersa.net;172.29.7.17;Microsoft Windows Server 2012 (64-bit);SRV-007-DC;Producción
NBERSA;DCGrupo3;nuevobersa.net;172.29.15.17;Microsoft Windows Server 2012 (64-bit);SRV-015-DC;Producción
NBERSA;DCGrupo3;nuevobersa.net;172.29.23.17;Microsoft Windows Server 2022 (64-bit);SRV-023-DC;Producción
NBERSA;DCGrupo3;nuevobersa.net;172.29.31.17;Microsoft Windows Server 2022 (64-bit);SRV-031-DC;Producción
NBERSA;DCGrupo3;nuevobersa.net;172.29.41.17;Microsoft Windows Server 2022 (64-bit);SRV-041-DC;Producción
