Cliente;Grupo;Dominio;IP;OS;Servidor;Ambiente
NBSF;DCGrupo1;corp.net;;Microsoft Windows Server 2016 or later (64-bit);CORP000DC1;Producción
NBSF;DCGrupo1;nbsf.com.ar;172.16.11.129;Windows Server 2022 Standard;NBSF000DC2;Producción
NBSF;DCGrupo1;nbsf.com.ar;172.16.11.33;Windows Server 2022 Standard;NBSF000GC1;Producción
NBSF;DCGrupo1;siteempresas.bancosantafe.com.ar;;Microsoft Windows Server 2016 (64-bit);NBSFSFEMPDC3;Producción
NBSF;DCGrupo2;nbsf.com.ar;172.16.11.34;Windows Server 2016 Standard;BSFDRPDCPW1;Producción
NBSF;DCGrupo2;corp.net;;Microsoft Windows Server 2016 or later (64-bit);CORP000GC1;Producción
NBSF;DCGrupo2;nbsf.com.ar;172.16.11.42;Windows Server 2022 Standard;NBSF000DC3;Producción
NBSF;DCGrupo2;siteempresas.bancosantafe.com.ar;172.16.8.16;Microsoft Windows Server 2016 (64-bit);NBSFSFEMPDC4   ;Producción
NBSF;DCGrupo3;nbsf.com.ar;172.16.11.36;Windows Server 2016 Standard;BSFDRPDCPW2;Producción
NBSF;DCGrupo3;corp.net;172.16.11.37;Windows Server 2016 Standard;CORPDRPDCPW1;Producción
NBSF;DCGrupo3;nbsf.com.ar;172.16.11.29;Windows Server 2022 Standard;NBSF000DC4;Producción
NBSF;DCGrupo3;siteempresas.bancosantafe.com.ar;172.16.8.17;Microsoft Windows Server 2016 (64-bit);SFEDRPDCPW1;Producción
NBSF;DCGrupo4;corp.net;172.16.11.38;Windows Server 2016 Standard;CORPDRPDCPW2;Producción
NBSF;DCGrupo4;nbsf.com.ar;172.16.11.32;Windows Server 2022 Standard;NBSF000DC5;Producción
NBSF;DCGrupo4;siteempresas.bancosantafe.com.ar;172.16.8.18;Microsoft Windows Server 2016 (64-bit);SFEDRPDCPW2 ;Producción
NBSF;DCGrupo4;nbsf.com.ar;172.30.10.197;Microsoft Windows Server 2016 or later (64-bit);SRVDCBSF01;Producción
NBSF;Fix1;nbsf.com.ar;192.168.1.199;Windows Server 2019;BSF001APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.4.199;Windows Server 2019;BSF004APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.8.199;Windows Server 2019;BSF008APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.21.199;Windows Server 2019;BSF021APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.24.199;Windows Server 2019;BSF024APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.27.199;Windows Server 2019;BSF027APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.32.199;Windows Server 2019;BSF032APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.35.199;Windows Server 2019;BSF035APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.40.199;Windows Server 2019;BSF040APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.43.199;Windows Server 2019;BSF043APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.46.199;Windows Server 2019;BSF046APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.51.199;Windows Server 2019;BSF051APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.59.199;Windows Server 2019;BSF059APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.67.199;Windows Server 2019;BSF067APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.76.199;Windows Server 2019;BSF076APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.81.199;Windows Server, version 1809;BSF081APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF400APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.64.199;Windows Server 2019;BSF421APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF429APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.47.199;Windows Server 2019;BSF438APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;192.168.60.199;Windows Server 2019;BSF442APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF476APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF502APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF505APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF508APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF512APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF516APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF520APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF523APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF527APPWP1;Producción
NBSF;Fix1;nbsf.com.ar;;Windows Server 2019;BSF531APPWP1;Producción
